Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
Sports Illustrated: Great Baseball Writing,Sports Illustrated (Editor),167,2005,6,sports,4.1
"The Unexpected Dream (Sports, #3)",Nicole Pyland (Goodreads Author),296,2020,2,sports,4.46
Sports Nutrition for Endurance Athletes,Monique Ryan,302,2002,7,sports,3.9
"The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,1205,2012,8,sports,3.95
Sports Illustrated: The College Football Book,Sports Illustrated,89,2008,3,sports,4.29
Waterlogged: The Serious Problem of Overhydration in Endurance Sports,Tim Noakes,179,2012,2,sports,4.12
Sports Illustrated Football's Greatest,Sports Illustrated (Editor),112,2012,3,sports,4.27
"Finding a Keeper (Sports, #4)",Nicole Pyland (Goodreads Author),284,2020,2,sports,4.49
Play Maker: A Sports Romantic Comedy Novel,Katie McCoy (Goodreads Author),1566,2016,4,sports,3.82
Mike and Mike's Rules for Sports and Life,"Mike Greenberg, 


Mike Golic, 


Andrew Chaikivsky",386,2010,4,sports,3.58
The Play: A Sports Romance (Chicago Nights Book 1),Natalie Wrye (Goodreads Author),188,2020,6,sports,3.78
The Life of Reilly: The Best of Sports Illustrated's Rick Reilly,"Rick Reilly, 


Charles Barkley (Foreword by)",493,2000,4,sports,4.07
"Strong Boy: The Life and Times of John L. Sullivan, America's First Sports Hero",Christopher   Klein (Goodreads Author),149,2013,9,sports,4.21
Nutrient Timing: The Future of Sports Nutrition,"John Ivy, 


Robert Portman",281,2004,4,sports,3.95
"Gothic Sports, Vol. 1",Anike Hage (Illustrations),302,2006,6,sports,3.42
"The Hungry Fan's Game Day Cookbook: 165 Recipes for Eating, Drinking & Watching Sports",Daina Falk,50,2016,3,sports,3.48
Game Over: How Politics Has Turned the Sports World Upside Down,Dave Zirin,212,2013,3,sports,3.83
Republicans Buy Sneakers Too: How the Left Is Ruining Sports with Politics,"Clay Travis (Author, Narrator)",427,2018,8,sports,4.35
Martina & Chrissie: The Greatest Rivalry in the History of Sports,"Phil Bildner (Goodreads Author), 


Brett Helquist (Illustrations)",305,2017,2,sports,4.02
Sapiens: A Brief History of Humankind,Yuval Noah Harari,692329,2011,289,history,4.39
The Secret History,Donna Tartt,401085,1992,191,history,4.11
World War Z: An Oral History of the Zombie War,Max Brooks (Goodreads Author),478826,2006,149,history,4.01
A Short History of Nearly Everything,Bill Bryson,341010,2003,211,history,4.18
A Brief History of Time,Stephen Hawking,354967,1988,358,history,4.19
A People's History of the United States,Howard Zinn,218035,1980,102,history,4.06
Homo Deus: A History of Tomorrow,Yuval Noah Harari,192833,2015,56,history,4.21
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan (Goodreads Author),198612,2006,71,history,4.15
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,116904,1960,137,history,4.15
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,274398,1986,40,history,4.33
