Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
Persuasive Technology: Using Computers to Change What We Think and Do,B.J. Fogg,270,2002,6,computers,3.83
The Cosmic Computer,H. Beam Piper,1170,1963,100,computers,3.72
The Pattern on the Stone: The Simple Ideas that Make Computers Work,William Daniel Hillis,657,1998,19,computers,4.05
"Advanced Computer Architecture: Parallelism, Scalability, Programmability",Kai Hwang,180,1992,2,computers,4.15
Interaction Design: Beyond Human-Computer Interaction,"Yvonne Rogers, 


Helen Sharp",755,2001,12,computers,3.72
Mathematical Elements for Computer Graphics,"David F. Rogers, 


J. Alan Adams",143,1976,3,computers,4.08
The New Turing Omnibus: 66 Excursions In Computer Science,A.K. Dewdney,326,1989,4,computers,3.88
Digital Logic & Computer Design,M. Morris Mano,189,1979,6,computers,4.06
Computer Organization and Architecture: Designing for Performance,William Stallings,549,1987,47,computers,4.05
Structured Computer Organization,Andrew S. Tanenbaum,510,1976,37,computers,3.99
Computer Graphics: Principles and Practice,"James D. Foley, 


Andries van Dam, 


Steven K. Feiner",347,1990,7,computers,4.18
Wizards Don't Need Computers (The Adventures of the Bailey School Kids #20),"Debbie Dadey (Goodreads Author), 


Marcia Thornton Jones (Goodreads Author), 


John Steven Gurney (Goodreads Author) (Illustrations)",693,1996,6,computers,3.71
Fundamentals of Computers,V. Rajaraman,152,2011,6,computers,3.91
"The Computational Beauty of Nature: Computer Explorations of Fractals, Chaos, Complex Systems, and Adaptation",Gary William Flake,255,1998,4,computers,4.38
The Planiverse: Computer Contact with a Two-Dimensional World,A.K. Dewdney,453,1983,12,computers,4.17
Computer Power and Human Reason: From Judgment to Calculation,Joseph Weizenbaum,201,1976,10,computers,4.3
A Computer Called Katherine: How Katherine Johnson Helped Put America on the Moon,"Suzanne Slade (Goodreads Author), 


Veronica Miller Jamison (Goodreads Author) (illustrator)",600,2019,5,computers,4.39
"Decoding the Heavens: A 2,000-Year-Old Computer and the Century-Long Search to Discover Its Secrets",Jo Marchant,469,2009,18,computers,4.07
Things a Computer Scientist Rarely Talks About,Donald Ervin Knuth,229,2001,2,computers,3.97
Testing Computer Software,"Cem Kaner, 


Jack Falk, 


Hung Q. Nguyen",283,1987,19,computers,3.87
Cad/CAM: Computer-Aided Design and Manufacturing,Mikell P. Groover,185,1983,3,computers,4.01
Graph Theory With Applications To Engineering And Computer Science,Narsingh Deo,131,2004,2,computers,4.05
The Universal History of Numbers: From Prehistory to the Invention of the Computer,Georges Ifrah,217,1981,9,computers,4.17
The Universal Computer: The Road from Leibniz to Turing,Martin D. Davis,401,2000,19,computers,4.07
Are You Living In a Computer Simulation?,Nick Bostrom (Goodreads Author),227,2003,2,computers,4.22
Computers and Intractability: A Guide to the Theory of NP-Completeness,"Michael R. Garey, 


David S. Johnson",201,1979,2,computers,4.14
Arthur's Computer Disaster: An Arthur Adventure (Arthur Adventure Series),Marc Brown,602,1997,14,computers,3.94
OK Computer,Dai Griffiths,494,2004,4,computers,2.68
Computer Science: A Structured Approach Using C++,"Behrouz A. Forouzan, 


Richard F. Gilberg",129,1999,4,computers,3.94
The Second Self: Computers & the Human Spirit (20th Anniversary),Sherry Turkle,175,1984,9,computers,3.99
"Ada's Ideas: The Story of Ada Lovelace, the World's First Computer Programmer",Fiona  Robinson,483,2016,5,computers,4.09
"Infinite Loop: How Apple, the World's Most Insanely Great Computer Company, Went Insane",Michael S. Malone,286,1999,4,computers,4.26
"Takedown: The Pursuit and Capture of Kevin Mitnick, America's Most Wanted Computer Outlaw - By the Man Who Did It","Tsutomu Shimomura, 


John Markoff",600,1996,11,computers,3.45
Mathematics for Computer Science,"Eric Lehman, 


F. Thomson Leighton, 


Albert R. Meyer",75,2010,6,computers,3.84
Python Programming: An Introduction to Computer Science,John Zelle,439,2003,16,computers,4.01
Turing's Vision: The Birth of Computer Science,Chris Bernhardt,193,2016,7,computers,4.28
Computer Lib/Dream Machines,Ted Nelson,118,1974,4,computers,4.46
"The Mystery in the Computer Game (The Boxcar Children, #78)",Gertrude Chandler Warner,418,2000,25,computers,3.93
Wetware: A Computer in Every Living Cell,Dennis Bray,210,2009,4,computers,3.87
Digital Computer Electronics,Albert Paul Malvino,155,1977,7,computers,4.16
Computer Love Inc. (Computer Love Inc. #1),"Kurt  Hansen (Goodreads Author), 


Jessica  Hansen",13,2013,2,computers,3.69
How Computers Work,"Ron   White, 


Timothy Edward Downs (Illustrator)",342,1992,26,computers,3.91
The Myth of Artificial Intelligence: Why Computers Can't Think the Way We Do,Erik J.  Larson,90,2021,2,computers,4.19
"The Plug-In Drug: Television, Computers, and Family Life",Marie Winn,258,1977,7,computers,3.83
I Love My Computer Because My Friends Live in It: Stories from an Online Life,Jess Kimball Leslie (Goodreads Author),199,2017,6,computers,3.26
Longman Complete Course for the TOEFL Test: Preparation for the Computer and Paper Tests (Student Book + CD-ROM with Answer Key),Deborah Phillips,137,2000,8,computers,4.18
Peter Norton's Introduction to Computers,Peter Norton,119,1994,13,computers,3.72
"The Invisible Computer: Why Good Products Can Fail, the Personal Computer Is So Complex, and Information Appliances Are the Solution",Donald A. Norman,251,1998,3,computers,3.87
Rebels Against the Future: The Luddites and Their War on the Industrial Revolution: Lessons for the Computer Age,Kirkpatrick Sale,153,1995,4,computers,3.81
Computer Science: An Overview,J. Glenn Brookshear,318,1985,35,computers,3.76
Basic Category Theory for Computer Scientists,Benjamin C. Pierce,137,1991,3,computers,3.56
The Computer Music Tutorial,Curtis Roads,195,1996,3,computers,4.38
Programmers at Work: Interviews With 19 Programmers Who Shaped the Computer Industry,Susan Lammers (Editor),137,1986,2,computers,4.1
"The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1",Donald Ervin Knuth,82,2011,7,computers,4.46
How to Do Nothing: Resisting the Attention Economy,Jenny Odell (Goodreads Author),32794,2019,24,economy,3.76
Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,17335,1988,33,economy,4.25
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,9782,2000,59,economy,4.35
"Capital: A Critique of Political Economy, Volume 1","Karl Marx, 


Ernest Mandel (Introduction), 


Ben Fowkes (Translator)",9596,1867,241,economy,4.24
The Thank You Economy,Gary Vaynerchuk (Goodreads Author),12911,2010,28,economy,3.82
The Deficit Myth: Modern Monetary Theory and the Birth of the People's Economy,Stephanie Kelton,5106,2020,27,economy,4.1
An Everlasting Meal: Cooking with Economy and Grace,"Tamar Adler, 


Alice Waters",6478,2011,9,economy,4.17
The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,5698,2006,17,economy,3.79
"Talking to My Daughter About the Economy: or, How Capitalism Works—and How It Fails","Yanis Varoufakis, 


Jacob Moe (Translator)",11453,2013,72,economy,4.11
"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey B. West,3672,2017,21,economy,4.15
Fault Lines: How Hidden Fractures Still Threaten the World Economy,Raghuram G. Rajan,4822,2010,26,economy,4.11
Business @ the Speed of Thought: Succeeding in the Digital Economy,"Bill  Gates (Goodreads Author), 


Collins Hemingway (Goodreads Author)",4926,1999,61,economy,3.75
Capitalism Without Capital: The Rise of the Intangible Economy,"Jonathan Haskel, 


Stian Westlake",1926,2017,12,economy,3.81
The Value of Everything: Making and Taking in the Global Economy,Mariana Mazzucato,2125,2018,31,economy,4.1
"Animal Spirits: How Human Psychology Drives the Economy, and Why It Matters for Global Capitalism","George A. Akerlof, 


Robert J. Shiller",4602,2008,42,economy,3.78
The Third Revolution: Xi Jinping and the New Chinese State,Elizabeth C. Economy,638,2018,6,economy,3.86
Platform Revolution: How Networked Markets Are Transforming the Economy--and How to Make Them Work for You,"Geoffrey G. Parker, 


Marshall W. Van Alstyne, 


Sangeet Paul Choudary (Goodreads Author)",4274,2016,19,economy,3.99
Deep Economy: The Wealth of Communities and the Durable Future,Bill McKibben,3887,2007,7,economy,4.06
How an Economy Grows and Why It Crashes,"Peter D. Schiff, 


Andrew J. Schiff",4144,2010,31,economy,4.16
"Freefall: America, Free Markets, and the Sinking of the World Economy",Joseph E. Stiglitz,3901,2010,45,economy,3.87
"Food Fix: How to Save Our Health, Our Economy, Our Communities, and Our Planet-One Bite at a Time",Mark Hyman (Goodreads Author),1474,2020,11,economy,4.05
The Velvet Rope Economy: How Inequality Became Big Business,Nelson D. Schwartz (Goodreads Author),733,2020,9,economy,4.05
Aftershock: The Next Economy and America's Future,Robert B. Reich,3815,2010,19,economy,3.94
"Economix: How and Why Our Economy Works (and Doesn't Work), in Words and Pictures","Michael    Goodwin (Goodreads Author), 


Dan E. Burr (Illustrations), 


David Bach (Foreword)",3686,2012,28,economy,4.33
"Capital: A Critique of Political Economy, Volume 2","Karl Marx, 


David Fernbach (Translator), 


Ernest Mandel (Introduction), 


Friedrich Engels",1604,1885,125,economy,4.08
The German Ideology / Theses on Feuerbach / Introduction to the Critique of Political Economy,"Karl Marx, 


Friedrich Engels",2271,1932,2,economy,4.09
Economy and Society: An Outline of Interpretive Sociology,"Max Weber, 


Claus Wittich, 


Guenther Roth (Editor)",1337,1922,50,economy,4.13
Lower Ed: The Troubling Rise of For-Profit Colleges in the New Economy,Tressie McMillan Cottom (Goodreads Author),1155,2015,14,economy,4.28
"Meltdown: A Free-Market Look at Why the Stock Market Collapsed, the Economy Tanked, and the Government Bailout Will Make Things Worse","Thomas E. Woods Jr., 


Ron Paul (Foreword by)",2401,2009,18,economy,4.08
"Sex, Economy, Freedom, and Community: Eight Essays",Wendell Berry,1949,1993,6,economy,4.25
The Undercover Economist Strikes Back: How to Run-or Ruin-an Economy,Tim Harford (Goodreads Author),2710,2013,19,economy,3.92
Fifty Inventions That Shaped the Modern Economy,Tim Harford (Goodreads Author),2801,2017,28,economy,4.07
Grundrisse: Foundations of the Critique of Political Economy,"Karl Marx, 


Martin Nicolaus (Translator)",1686,1857,39,economy,4.26
Back to Work: Why We Need Smart Government for a Strong Economy,Bill Clinton,3310,2011,21,economy,3.7
The Wages of Destruction: The Making and Breaking of the Nazi Economy,Adam Tooze,1624,2007,21,economy,4.5
"How Capitalism Underdeveloped Black America: Problems in Race, Political Economy, and Society",Manning Marable,702,1983,12,economy,4.33
Disposable People: New Slavery in the Global Economy,Kevin Bales (Goodreads Author),1330,1999,14,economy,4.22
Life After Google: The Fall of Big Data and the Rise of the Blockchain Economy,George Gilder,1751,2018,16,economy,3.59
The Wal-Mart Effect: How the World's Most Powerful Company Really Works - and How It's Transforming the American Economy,Charles Fishman,3441,2006,29,economy,3.83
The Economy of Cities,Jane Jacobs,1047,1969,9,economy,4.11
"The Accursed Share: An Essay on General Economy, Volume I: Consumption","Georges Bataille, 


Robert Hurley (Translator)",1718,1949,30,economy,4.07
The Experience Economy: Work Is Theater & Every Business a Stage,"B. Joseph Pine II, 


James H. Gilmore",2179,1999,25,economy,3.81
Glass House: The 1% Economy and the Shattering of the All-American Town,Brian  Alexander,1551,2017,9,economy,3.91
"The End of Alchemy: Money, Banking, and the Future of the Global Economy",Mervyn A. King,1815,2016,16,economy,4.1
The Power to Compete: An Economist and an Entrepreneur on Revitalizing Japan in the Global Economy,"Hiroshi Mikitani, 


Ryoichi Mikitani",396,2014,6,economy,3.57
Indian Economy: Performance and Policies,Uma Kapila,451,2009,13,economy,3.94
"Global Woman: Nannies, Maids, and Sex Workers in the New Economy","Barbara Ehrenreich (Editor), 


Arlie Russell Hochschild (Editor)",1203,2003,6,economy,3.82
"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar A. Hidalgo (Goodreads Author),1223,2015,16,economy,3.97
"Capital: A Critique of Political Economy, Volume 3","Karl Marx, 


David Fernbach (Translator), 


Ernest Mandel (Introduction)",1041,1894,92,economy,4.18
"The Global Minotaur: America, the True Origins of the Financial Crisis and the Future of the World Economy",Yanis Varoufakis,1969,2011,40,economy,4.19
"The Travels of A T-Shirt in the Global Economy: An Economist Examines the Markets, Power, and Politics of World Trade",Pietra Rivoli,2562,2005,3,economy,3.71
Trade Wars Are Class Wars: How Rising Inequality Distorts the Global Economy and Threatens International Peace,"Matthew C. Klein, 


Michael Pettis",686,2020,12,economy,4.17
"The Third Industrial Revolution: How Lateral Power Is Transforming Energy, the Economy, and the World",Jeremy Rifkin,1369,2011,3,economy,3.88
The Globalization Paradox: Democracy and the Future of the World Economy,Dani Rodrik,1257,2010,25,economy,4.01
"Beyond Outrage: What has gone wrong with our economy and our democracy, and how to fix it",Robert B. Reich,2065,2012,13,economy,4.06
The Parable of the Pipeline: How Anyone Can Build a Pipeline of Ongoing Residual Income in the New Economy,Burke Hedges,1265,2001,16,economy,4.1
Issues in Pakistan's Economy,S. Akbar Zaidi,373,2000,3,economy,4.02
Mission Economy: A Moonshot Guide to Changing Capitalism,Mariana Mazzucato,681,2020,15,economy,4.01
Remix: Making Art and Commerce Thrive in the Hybrid Economy,Lawrence Lessig,1544,2008,19,economy,3.83
Floating City: A Rogue Sociologist Lost and Found in New York's Underground Economy,Sudhir Venkatesh,1155,2013,10,economy,3.44
The Commanding Heights: The Battle for the World Economy,"Daniel Yergin, 


Joseph Stanislaw",1076,1998,14,economy,4.08
"The Great Divergence: China, Europe, and the Making of the Modern World Economy",Kenneth Pomeranz,725,2000,16,economy,3.67
Who's Your City?: How the Creative Economy Is Making Where to Live the Most Important Decision of Your Life,Richard Florida,1421,2008,6,economy,3.46
Murder City: Ciudad Juárez and the Global Economy's New Killing Fields,Charles Bowden,1335,2010,12,economy,3.7
By All Means Necessary: How China's Resource Quest Is Changing the World,"Elizabeth C. Economy, 


Michael Levi",161,2013,7,economy,3.61
The Principles of Political Economy and Taxation,"David Ricardo, 


F.W. Kolthammer (Introduction)",629,1817,163,economy,3.8
"The Hype Machine: How Social Media Disrupts Our Elections, Our Economy, and Our Health--And How We Must Adapt",Sinan Aral,349,2020,8,economy,4.17
"The Misfit Economy: Lessons in Creativity from Pirates, Hackers, Gangsters and Other Informal Entrepreneurs","Alexa Clay (Goodreads Author), 


Kyra Maya Phillips",681,2015,12,economy,3.31
"Extreme Economies: Survival, Failure, Future – Lessons from the World’s Limits",Richard  Davies,627,2020,7,economy,4.19
Modern Monopolies: What It Takes to Dominate the 21st Century Economy,"Alex Moazed, 


Nicholas L. Johnson",727,2016,6,economy,4.11
Noise: The Political Economy of Music,"Jacques Attali, 


Brian Massumi (Translator)",833,1977,14,economy,4.09
Mother of Invention: How Good Ideas Get Ignored in an Economy Built for Men,Katrine Marçal,144,2021,10,economy,4.18
Off the Books: The Underground Economy of the Urban Poor,Sudhir Venkatesh,786,2006,6,economy,3.7
The Green Collar Economy: How One Solution Can Fix Our Two Biggest Problems,Van Jones,849,2008,11,economy,3.71
"The Rise of the Network Society: The Information Age: Economy, Society and Culture, Volume I",Manuel Castells,850,1996,30,economy,3.98
The Climate Crisis and the Global Green New Deal: The Political Economy of Saving the Planet,"Noam Chomsky, 


Robert Pollin, 


C.J. Polychroniou (Contributor), 


James Patrick Cronin (Narrator)",753,2020,6,economy,3.9
The Making of Global Capitalism: The Political Economy of American Empire,"Leo Panitch, 


Sam Gindin",294,2012,9,economy,4.23
Making A Killing: The Political Economy of Animal Rights,Bob Torres (Goodreads Author),518,2007,8,economy,4.14
A Year Without Made in China: One Family's True Life Adventure in the Global Economy,Sara Bongiorni,1227,2007,19,economy,3.05
Information Rules: A Strategic Guide to the Network Economy,"Carl Shapiro, 


Hal R. Varian",547,1998,7,economy,4.07
China's Economy: What Everyone Needs to Know,Arthur R. Kroeber,773,2016,13,economy,4.26
"Man, Economy, and State",Murray N. Rothbard,320,1962,9,economy,4.44
The River Runs Black: The Environmental Challenge to China's Future,Elizabeth C. Economy,168,2004,5,economy,3.8
False Economy: A Surprising Economic History of the World,Alan Beattie,828,2009,16,economy,3.65
"The Darwin Economy: Liberty, Competition, and the Common Good",Robert H. Frank,556,2011,14,economy,3.77
Blockchain: Blueprint for a New Economy,Melanie Swan,652,2014,8,economy,3.33
Our Black Year: One Family's Quest to Buy Black in America's Racially Divided Economy,Maggie Anderson,423,2012,6,economy,3.7
"The Gardens of Democracy: A New American Story of Citizenship, the Economy, and the Role of Government","Eric Liu, 


Nick Hanauer",515,2011,4,economy,3.91
Killing the Host: How Financial Parasites and Debt Bondage Destroy the Global Economy,Michael Hudson,251,2013,8,economy,4.33
"The Crash Course: The Unsustainable Future of Our Economy, Energy, and Environment",Chris Martenson,524,2011,7,economy,4.15
Unequal Democracy: The Political Economy of the New Gilded Age,Larry M. Bartels,420,2008,9,economy,3.9
Military Inc.: Inside Pakistan's Military Economy,Ayesha Siddiqa,381,2007,15,economy,3.65
The Membership Economy,Robbie Kellman Baxter (Goodreads Author),706,2015,4,economy,3.78
Stabilizing an Unstable Economy: A Twentieth Century Fund Report,Hyman P. Minsky,294,1986,10,economy,4.18
"50 Economics Classics: Your shortcut to the most important ideas on capitalism, finance, and the global economy",Tom Butler-Bowdon (Goodreads Author),287,2017,9,economy,4.2
A Culture of Growth: The Origins of the Modern Economy,Joel Mokyr,163,2016,5,economy,3.88
"Teaming: How Organizations Learn, Innovate, and Compete in the Knowledge Economy",Amy C. Edmondson,356,2005,10,economy,3.97
"Power and Plenty: Trade, War, and the World Economy in the Second Millennium","Ronald Findlay, 


Kevin H. O'Rourke",283,2007,6,economy,4.16
"The Lights in the Tunnel: Automation, Accelerating Technology and the Economy of the Future",Martin Ford,691,2009,3,economy,3.69
The Modern World-System I: Capitalist Agriculture and the Origins of the European World-Economy in the Sixteenth Century,"Immanuel Wallerstein, 


Edward Shorter (Editor), 


Charles Tilly (Editor)",335,1975,18,economy,4.17
Stolen: How Finance Destroyed the Economy and Corrupted our Politics,Grace Blakeley,463,2019,8,economy,4.1
The Indian Economy,Sanjiv Verma,287,2011,11,economy,4.06
Libidinal Economy,Jean-François Lyotard,183,1974,11,economy,3.92
The Sushi Economy: Globalization and the Making of a Modern Delicacy,Sasha Issenberg (Goodreads Author),691,2007,9,economy,3.62
Bikenomics: How Bicycling Can Save The Economy,Elly Blue (Goodreads Author),534,2011,15,economy,4.08
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,489493,2012,30,education,4.12
"A Deadly Education (The Scholomance, #1)",Naomi Novik (Goodreads Author),65041,2020,43,education,4.03
"Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef",Gabrielle Hamilton,33334,2001,25,education,3.75
I Am Malala: How One Girl Stood Up for Education and Changed the World,"Malala Yousafzai, 


Patricia McCormick",26090,2014,82,education,4.35
The Education of an Idealist: A Memoir,Samantha Power,13843,2019,19,education,4.35
Sentimental Education,"Gustave Flaubert, 


Geoffrey Wall (Annotations), 


Robert Baldick (Translator)",19141,1869,211,education,3.83
Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,16316,2005,28,education,4.18
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,7156,1994,21,education,4.43
"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",Mark Walden (Goodreads Author),14400,2006,33,education,4.07
"The Extraordinary Education of Nicholas Benedict (The Mysterious Benedict Society, #0)","Trenton Lee Stewart (Goodreads Author), 


Del Roy (Narrator)",14939,2012,25,education,4.37
Second Nature: A Gardener's Education,Michael Pollan (Goodreads Author),7416,1991,26,education,3.93
Farm City: The Education of an Urban Farmer,Novella Carpenter,9786,2009,21,education,3.97
The Education of Little Tree,Forrest Carter,15357,1976,67,education,4.12
"Taint (Sexual Education, #1)",S.L. Jennings (Goodreads Author),10409,2014,13,education,3.81
The Mis-Education of the Negro,Carter G. Woodson,8885,1933,121,education,4.48
"The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL",Eric Greitens,8915,2011,12,education,4.13
"The Education of Sebastian (The Education of..., #1)",Jane Harvey-Berrick (Goodreads Author),6901,2012,7,education,3.88
Nothing Daunted: The Unexpected Education of Two Society Girls in the West,Dorothy Wickenden,6320,2011,9,education,3.42
The Well-Educated Mind: A Guide to the Classical Education You Never Had,Susan Wise Bauer,3326,2003,15,education,3.99
For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,Christopher Emdin,3777,2016,6,education,4.08
The Well-Trained Mind: A Guide to Classical Education at Home,"Susan Wise Bauer, 


Jessie Wise",6778,1999,14,education,4.32
The Death and Life of the Great American School System: How Testing and Choice Are Undermining Education,Diane Ravitch,5382,2010,17,education,4.05
"Emile, or On Education","Jean-Jacques Rousseau, 


Allan Bloom (Translator)",4222,1762,437,education,3.61
My Education,Susan Choi (Goodreads Author),3806,2013,17,education,3.28
"An Incomplete Education: 3,684 Things You Should Have Learned But Probably Didn't","Judy Jones, 


William Wilson",2258,1987,25,education,3.91
"Invisible Man, Got the Whole World Watching: A Young Black Man's Education",Mychal Denzel Smith,2249,2016,7,education,4.35
The School of Life: An Emotional Education,Alain de Botton (Goodreads Author) (Editor),3506,2019,14,education,4.3
A Place of My Own: The Education of an Amateur Builder,Michael Pollan (Goodreads Author),4250,1997,27,education,3.85
"The Education of Caroline (The Education of..., #2)",Jane Harvey-Berrick (Goodreads Author),5266,2013,5,education,4.14
"The Education of a Value Investor: My Transformative Quest for Wealth, Wisdom, and Enlightenment",Guy Spier (Goodreads Author),4066,2015,10,education,4.23
The Education of Margot Sánchez,Lilliam Rivera (Goodreads Author),2377,2017,9,education,3.62
Education of a Wandering Man,Louis L'Amour,5583,1989,19,education,3.9
The Education of Millionaires: It's Not What You Think and It's Not Too Late,Michael Ellsberg,3820,2011,13,education,3.86
Creative Schools: The Grassroots Revolution That's Transforming Education,"Ken Robinson, 


Lou Aronica (Goodreads Author)",3264,2015,44,education,4.14
"The Intellectual Devotional: Revive Your Mind, Complete Your Education, and Roam Confidently with the Cultured Class","David S. Kidder, 


Noah D. Oppenheim",2913,2006,31,education,3.96
The Education of Henry Adams,Henry Adams,5578,1918,812,education,3.62
"A Jane Austen Education: How Six Novels Taught Me About Love, Friendship, and the Things That Really Matter",William Deresiewicz,3699,2011,13,education,3.83
The Call of the Wild and Free: Reclaiming Wonder in Your Child's Education,Ainsley Arment,3438,2019,9,education,4.29
The Case Against Education: Why the Education System Is a Waste of Time and Money,Bryan Caplan,1353,2018,8,education,3.99
The Education of a Coach,David Halberstam,4674,2005,20,education,3.93
The Monk and the Riddle: The Education of a Silicon Valley Entrepreneur,"Randy Komisar, 


Kent Lineback",2583,2000,12,education,3.87
My Time Among the Whites: Notes from an Unfinished Education,Jennine Capo Crucet (Goodreads Author),1415,2019,4,education,4.19
The One World Schoolhouse: Education Reimagined,Salman Khan,4008,2012,35,education,4.33
The Unforgiving Minute: A Soldier's Education,Craig M. Mullaney,3802,2009,15,education,4.04
A Thomas Jefferson Education: Teaching a Generation of Leaders for the Twenty-first Century,Oliver DeMille,3532,2000,6,education,4.2
Experience and Education,John Dewey,3060,1938,27,education,3.91
"Why ""A"" Students Work for ""C"" Students and ""B"" Students Work for the Government: Rich Dad's Guide to Financial Education for Parents",Robert T. Kiyosaki,1453,2012,37,education,3.88
Democracy and Education,John Dewey,1927,1916,701,education,4.05
The End of Education: Redefining the Value of School,Neil Postman,1602,1995,12,education,3.96
An Education: My Life Might Have Turned Out Differently if I Had Just Said No,Lynn Barber,3153,2009,22,education,3.35
Hunger of Memory: The Education of Richard Rodriguez,Richard Rodríguez,3085,1981,18,education,3.34
The Education of Dixie Dupree,Donna Everhart (Goodreads Author),3685,2016,11,education,3.86
The Knowledge Gap: The Hidden Cause of America's Broken Education System--And How to Fix It,Natalie Wexler (Goodreads Author),1612,2019,5,education,4.19
An Education: The Shooting Script,Nick Hornby,1720,2009,14,education,3.74
On All Fronts: The Education of a Journalist,Clarissa Ward,1214,2020,6,education,4.55
The Education of Bet,Lauren Baratz-Logsted (Goodreads Author),1557,2010,5,education,3.57
"My Paris Dream: An Education in Style, Slang, and Seduction in the Great City on the Seine",Kate Betts,1674,2015,11,education,3.53
"Harvard's Education (Tall, Dark & Dangerous, #5)",Suzanne Brockmann (Goodreads Author),3383,1998,20,education,3.92
The Receptionist: An Education at The New Yorker,Janet Groth,1871,2012,12,education,2.56
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill",Ron Suskind,1935,2004,17,education,3.82
"Confidence Men: Wall Street, Washington, and the Education of a President",Ron Suskind,2389,2011,16,education,3.77
The Education of Hailey Kendrick,Eileen Cook (Goodreads Author),1658,2011,6,education,3.69
Drama: An Actor's Education,John Lithgow,2101,2011,14,education,3.92
The Underground History of American Education: An Intimate Investigation Into the Prison of Modern Schooling,John Taylor Gatto,1122,2000,7,education,4.32
We Make the Road by Walking: Conversations on Education and Social Change,"Myles Horton, 


Paulo Freire",868,1990,2,education,4.35
Killing It: An Education,Camas Davis,728,2018,9,education,3.77
The Speechwriter: A Brief Education in Politics,Barton Swaim,1921,2015,8,education,3.52
Arnold: The Education of a Bodybuilder,"Arnold Schwarzenegger, 


Douglas Kent Hall",1924,1977,12,education,4.19
Unfair Advantage: The Power of Financial Education,Robert T. Kiyosaki,1617,2012,32,education,4.01
On the Aesthetic Education of Man,"Friedrich Schiller, 


Reginald Snell (Translator)",1332,1794,87,education,3.98
"The Education of Ivy Leavold (Markham Hall, #2)",Sierra Simone (Goodreads Author),1883,2015,3,education,4.03
"An Underground Education: The Unauthorized and Outrageous Supplement to Everything You Thought You Knew About Art, Sex, Business, Crime, Science, Medicine, and Other Fields of Human Knowledge",Richard Zacks,1501,1997,7,education,4.07
Oil and Honey: The Education of an Unlikely Activist,Bill McKibben,1156,2013,14,education,3.92
In Defense of a Liberal Education,Fareed Zakaria,2637,2015,11,education,3.84
"The Unseemly Education of Anne Merchant (V, #1)",Joanna Wiebe (Goodreads Author),697,2014,6,education,3.43
An Italian Education,Tim Parks (Goodreads Author),1381,1995,6,education,3.87
The Teenage Liberation Handbook: How to Quit School and Get a Real Life and Education,Grace Llewellyn,1295,1991,9,education,4.23
The Education of a Coroner: Lessons in Investigating Death,John Bateson (Goodreads Author),1287,2017,11,education,4.02
The Core: Teaching Your Child the Foundations of Classical Education,Leigh A. Bortins,1692,2010,7,education,4.11
The Education of Augie Merasty: A Residential School Memoir,"Joseph Auguste Merasty, 


David Carpenter",1024,2015,5,education,3.97
Every Man in This Village Is a Liar: An Education in War,Megan K. Stack,1217,2010,19,education,3.82
Vagina: A Re-education,Lynn Enright,1093,2019,9,education,4.32
The Education of Alice Wells,Sara Wolf (Goodreads Author),2033,2014,3,education,3.67
"Cutting School: Privatization, Segregation, and the End of Public Education",Noliwe Rooks,343,2017,9,education,4.24
Education for Critical Consciousness,Paulo Freire,973,1965,34,education,4.29
Simple Justice: The History of Brown v. Board of Education and Black America's Struggle for Equality,Richard Kluger (Goodreads Author),659,1975,9,education,4.44
Rethinking School: How to Take Charge of Your Child's Education,Susan Wise Bauer,1153,2018,6,education,4.07
Is Everyone Really Equal?: An Introduction to Key Concepts in Social Justice Education,"Özlem Sensoy, 


Robin DiAngelo, 


Özlem Sensoy",833,2011,9,education,4.09
Think Like a Champion: An Informal Education in Business and Life,"Donald J. Trump, 


Meredith McIver (Contributor)",1335,2009,3,education,3.81
"Vanity of Duluoz: An Adventurous Education, 1935-46",Jack Kerouac,1648,1967,31,education,3.75
Dirt Work: An Education in the Woods,Christine Byl,758,2013,6,education,3.68
Why We Make Things and Why It Matters: The Education of a Craftsman,Peter Korn,1196,2013,14,education,3.72
This Won't Hurt a Bit: (And Other White Lies): My Education in Medicine and Motherhood,Michelle Au,1029,2011,5,education,3.97
The Education of a British-Protected Child: Essays,Chinua Achebe,807,2009,28,education,3.99
Education and the Significance of Life,Jiddu Krishnamurti,1016,1955,29,education,4.38
